trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
118,False,"{'a': 0.9, 'e': 0.00847457627118644}",25,13,21.417542476720755,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.9, 'e': 0.008403361344537815}",20,11,18.272455640038185,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.9, 'e': 0.008333333333333333}",25,7,30.982761824223417,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.9, 'e': 0.008264462809917356}",25,20,10.033944504160909,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.9, 'e': 0.00819672131147541}",20,10,18.643656898240597,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.9, 'e': 0.008130081300813009}",30,18,25.507403491519096,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.9, 'e': 0.008064516129032258}",20,3,26.039999563690223,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.9, 'e': 0.008}",20,6,25.287019467597407,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.9, 'e': 0.007936507936507936}",20,2,30.613455521997597,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.9, 'e': 0.007874015748031496}",25,6,32.89751438375253,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.9, 'e': 0.0078125}",25,10,28.478492170496928,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.9, 'e': 0.007751937984496124}",25,12,28.196312473833217,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.9, 'e': 0.007692307692307693}",20,11,17.994462856190047,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.9, 'e': 0.007633587786259542}",25,10,26.42501265772067,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.9, 'e': 0.007575757575757576}",20,7,11.477848836910336,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.9, 'e': 0.007518796992481203}",30,8,40.771209709113045,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.9, 'e': 0.007462686567164179}",30,16,20.992974168595012,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.9, 'e': 0.007407407407407408}",30,18,21.201311521063467,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.9, 'e': 0.007352941176470588}",20,0,31.176105886091896,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.9, 'e': 0.0072992700729927005}",25,20,10.659179215360162,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.9, 'e': 0.007246376811594203}",20,0,9.76743514943142,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
139,False,"{'a': 0.9, 'e': 0.007194244604316547}",20,7,25.669760249261337,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.9, 'e': 0.007142857142857143}",25,10,28.433672582681304,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.9, 'e': 0.0070921985815602835}",30,19,20.155955472048014,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.9, 'e': 0.007042253521126761}",25,14,19.558635244009093,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.9, 'e': 0.006993006993006993}",25,0,40.40321992351928,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
144,False,"{'a': 0.9, 'e': 0.006944444444444444}",20,1,35.772274817132754,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.9, 'e': 0.006896551724137931}",20,5,29.586934826414105,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.9, 'e': 0.00684931506849315}",25,16,17.40946359586553,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.9, 'e': 0.006802721088435374}",25,13,21.3862546570946,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.9, 'e': 0.006756756756756757}",25,18,11.451208508196078,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.9, 'e': 0.006711409395973154}",25,20,9.778066373876916,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.9, 'e': 0.006666666666666667}",20,13,12.2917772286054,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.9, 'e': 0.006622516556291391}",25,17,15.333108985206934,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.9, 'e': 0.006578947368421052}",25,13,23.13530465099582,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.9, 'e': 0.006535947712418301}",20,8,21.54543965057436,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.9, 'e': 0.006493506493506494}",20,8,21.796193485380137,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.9, 'e': 0.0064516129032258064}",20,10,22.84761973526866,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.9, 'e': 0.00641025641025641}",30,14,31.48173785138024,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.9, 'e': 0.006369426751592357}",20,2,29.361258853796087,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.9, 'e': 0.006329113924050633}",25,3,37.93196141079271,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.9, 'e': 0.006289308176100629}",20,12,13.466306037032558,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.9, 'e': 0.00625}",30,8,42.05459755967729,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.9, 'e': 0.006211180124223602}",25,4,40.6006418747312,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.9, 'e': 0.006172839506172839}",20,6,24.77898033140018,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.9, 'e': 0.006134969325153374}",25,10,30.281407052624594,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.9, 'e': 0.006097560975609756}",20,8,21.21053511857343,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.9, 'e': 0.006060606060606061}",20,8,22.26573697057013,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.9, 'e': 0.006024096385542169}",30,18,24.758355852037056,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.9, 'e': 0.005988023952095809}",20,12,12.629804364828253,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.9, 'e': 0.005952380952380952}",25,10,33.320174067074,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.9, 'e': 0.005917159763313609}",20,12,15.803178794078615,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.9, 'e': 0.0058823529411764705}",20,3,30.33414946550586,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.9, 'e': 0.005847953216374269}",20,6,23.286424277827383,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.9, 'e': 0.005813953488372093}",20,11,19.152691412371247,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.9, 'e': 0.005780346820809248}",20,3,30.46723015669478,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.9, 'e': 0.005747126436781609}",20,9,19.323647933022354,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
